event_type,scheduled_at_utc,importance,source,source_series_names
NFP,2020-11-06 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Oct); Nonfarm Payrolls Private (Oct)
CPI,2020-11-12 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Oct); Core Inflation Rate YoY (Oct); Inflation Rate MoM (Oct); Inflation Rate YoY (Oct)
PCE,2020-11-25 15:00:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Oct); Core PCE Price Index YoY (Oct); PCE Price Index MoM (Oct); PCE Price Index YoY (Oct)
FOMC_MINUTES,2020-11-25 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2020-12-04 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Nov); Nonfarm Payrolls Private (Nov)
CPI,2020-12-10 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Nov); Core Inflation Rate YoY (Nov); Inflation Rate MoM (Nov); Inflation Rate YoY (Nov)
FOMC_DECISION,2020-12-16 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2020-12-23 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Nov); Core PCE Price Index YoY (Nov); PCE Price Index MoM (Nov); PCE Price Index YoY (Nov)
FOMC_MINUTES,2021-01-06 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2021-01-08 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Dec); Nonfarm Payrolls Private (Dec)
CPI,2021-01-13 13:30:00,high,fmp_economics_calendar,CPI (Dec); Core Inflation Rate MoM (Dec); Core Inflation Rate YoY (Dec); Inflation Rate MoM (Dec); Inflation Rate YoY (Dec)
FOMC_DECISION,2021-01-27 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-01-29 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Dec); Core PCE Price Index YoY (Dec); PCE Price Index MoM (Dec); PCE Price Index YoY (Dec)
NFP,2021-02-05 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jan); Nonfarm Payrolls Private (Jan)
CPI,2021-02-10 13:30:00,high,fmp_economics_calendar,CPI (Jan); Core Inflation Rate MoM (Jan); Core Inflation Rate YoY (Jan); Inflation Rate MoM (Jan); Inflation Rate YoY (Jan)
FOMC_MINUTES,2021-02-17 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2021-02-26 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jan); Core PCE Price Index YoY (Jan); PCE Price Index MoM (Jan); PCE Price Index YoY (Jan)
NFP,2021-03-05 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Feb); Nonfarm Payrolls Private (Feb)
CPI,2021-03-10 13:30:00,high,fmp_economics_calendar,CPI (Feb); Core Inflation Rate MoM (Feb); Core Inflation Rate YoY (Feb); Inflation Rate MoM (Feb); Inflation Rate YoY (Feb)
FOMC_DECISION,2021-03-17 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-03-26 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Feb); Core PCE Price Index YoY (Feb); PCE Price Index MoM (Feb); PCE Price Index YoY (Feb)
NFP,2021-04-02 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Mar); Nonfarm Payrolls Private (Mar)
FOMC_MINUTES,2021-04-07 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
CPI,2021-04-13 12:30:00,high,fmp_economics_calendar,CPI (Mar); Core Inflation Rate MoM (Mar); Core Inflation Rate YoY (Mar); Inflation Rate MoM (Mar); Inflation Rate YoY (Mar)
FOMC_DECISION,2021-04-28 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-04-30 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Mar); Core PCE Price Index YoY (Mar); PCE Price Index MoM (Mar); PCE Price Index YoY (Mar)
NFP,2021-05-07 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Apr); Nonfarm Payrolls Private (Apr)
CPI,2021-05-12 12:30:00,high,fmp_economics_calendar,CPI (Apr); Core Inflation Rate MoM (Apr); Core Inflation Rate YoY (Apr); Inflation Rate MoM (Apr); Inflation Rate YoY (Apr)
FOMC_MINUTES,2021-05-19 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2021-05-28 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Apr); Core PCE Price Index YoY (Apr); PCE Price Index MoM (Apr); PCE Price Index YoY (Apr)
NFP,2021-06-04 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (May); Nonfarm Payrolls Private (May)
CPI,2021-06-10 12:30:00,high,fmp_economics_calendar,CPI (May); Core Inflation Rate MoM (May); Core Inflation Rate YoY (May); Inflation Rate MoM (May); Inflation Rate YoY (May)
FOMC_DECISION,2021-06-16 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-06-25 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (May); Core PCE Price Index YoY (May); PCE Price Index MoM (May); PCE Price Index YoY (May)
NFP,2021-07-02 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jun); Nonfarm Payrolls Private (Jun)
FOMC_MINUTES,2021-07-07 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
CPI,2021-07-13 12:30:00,high,fmp_economics_calendar,CPI (Jun); Core Inflation Rate MoM (Jun); Core Inflation Rate YoY (Jun); Inflation Rate MoM (Jun); Inflation Rate YoY (Jun)
FOMC_DECISION,2021-07-28 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
