date,open,high,low,close,volume
2016-12-31,8.2,8.29,8,8.16,354087
2016-12-30,8.3,8.52,8.01,8.21,542804
2016-12-29,7.6,8.53,7.6,8.29,1264507
2016-12-28,7.15,7.72,7.05,7.62,749054
2016-12-27,7.23,7.37,7.05,7.16,324649
2016-12-26,7.18,7.33,7.02,7.26,195672
2016-12-25,7.23,7.34,7.12,7.19,190060
2016-12-24,7.14,7.46,7.08,7.22,215726
2016-12-23,7.54,7.67,7.01,7.13,681193
2016-12-22,7.93,7.95,7.5,7.55,655046
2016-12-21,7.64,7.97,7.64,7.91,366510
2016-12-20,7.65,7.77,7.55,7.64,218107
2016-12-19,7.92,7.95,7.57,7.64,315761
2016-12-18,7.84,7.97,7.69,7.92,168205
2016-12-17,7.84,7.93,7.51,7.85,293355
2016-12-16,7.85,7.95,7.77,7.84,264232
2016-12-15,8.24,8.32,7.64,7.83,584791
2016-12-14,8.4,8.48,8.19,8.24,280696
2016-12-13,8.53,8.57,8.35,8.41,313222
2016-12-12,8.23,8.62,8.18,8.5,377919
2016-12-11,8.14,8.26,8.11,8.23,182467
2016-12-10,8.46,8.55,8.04,8.14,362482
2016-12-09,8.21,8.65,7.97,8.47,513434
2016-12-08,8.35,8.95,8.2,8.2,567325
2016-12-07,7.83,8.6,7.33,8.35,759992
2016-12-06,6.76,7.99,5.81,7.83,1328132
2016-12-05,7.39,7.58,6.56,6.75,631314
2016-12-04,7.87,7.92,7.35,7.37,331937
2016-12-03,7.73,8.12,7.34,7.86,455086
2016-12-02,8.46,8.46,7.27,7.73,913470
2016-12-01,8.59,8.68,8.3,8.45,356041
2016-11-30,8.14,8.75,8.14,8.61,494438
2016-11-29,8.67,8.72,7.79,8.14,689214
2016-11-28,8.97,9,8.63,8.67,404950
2016-11-27,9.33,9.33,8.66,8.98,556293
2016-11-26,9.42,9.48,9.26,9.33,166820
2016-11-25,9.19,9.74,9.16,9.4,206772
2016-11-24,9.8,9.82,8.68,9.18,617190
2016-11-23,9.87,9.93,9.73,9.8,209847
2016-11-22,9.53,10.21,9.49,9.87,375405
2016-11-21,9.58,9.65,9.41,9.54,276450
2016-11-20,9.69,9.78,9.52,9.6,241747
2016-11-19,9.51,9.78,9.45,9.68,246821
2016-11-18,9.9,9.97,9.45,9.51,530763
2016-11-17,10,10.13,9.8,9.91,481240
2016-11-16,10.27,10.42,9.82,10,415290
2016-11-15,10,10.3,9.81,10.27,309096
2016-11-14,10.13,10.19,9.93,10.02,298897
2016-11-13,9.92,10.41,9.82,10.14,269967
2016-11-12,10.29,10.34,9.65,9.95,461322
2016-11-11,10.51,10.72,10.16,10.29,458049
2016-11-10,10.64,10.68,10.44,10.51,278336
2016-11-09,10.83,10.86,10.28,10.62,776715
2016-11-08,10.93,11.01,10.81,10.84,449177
2016-11-07,11.01,11.06,10.9,10.93,307548
2016-11-06,11.16,11.2,10.92,11.01,220728
2016-11-05,11.16,11.24,11.01,11.16,250854
2016-11-04,10.87,11.16,10.81,11.15,380951
2016-11-03,10.82,11.14,10.77,10.87,557359
2016-11-02,10.84,11.17,10.72,10.83,432420
2016-11-01,10.97,11.24,10.35,10.84,779429
2016-10-31,11.2,11.44,10.85,10.97,379211
2016-10-30,10.45,11.45,10.35,11.19,483777
2016-10-29,11.14,11.35,9.52,10.47,923601
2016-10-28,11.49,11.63,10.93,11.13,547986
2016-10-27,11.49,11.57,11.22,11.48,492871
2016-10-26,11.32,11.7,11.32,11.49,498080
2016-10-25,11.91,11.95,11.05,11.33,836449
2016-10-24,11.93,11.99,11.89,11.92,269046
2016-10-23,12.04,12.06,11.87,11.94,243994
2016-10-22,12.05,12.14,11.87,12.03,307138
2016-10-21,12.07,12.13,11.96,12.05,240096
2016-10-20,12.01,12.26,11.92,12.06,364875
2016-10-19,12.55,12.65,11.88,12.01,470204
2016-10-18,11.96,12.94,11.95,12.54,577291
2016-10-17,11.95,11.99,11.83,11.96,347641
2016-10-16,11.96,12.05,11.9,11.95,196183
2016-10-15,11.91,11.97,11.78,11.95,254607
2016-10-14,11.88,12.07,11.84,11.92,437118
2016-10-13,11.92,12.11,11.72,11.87,398322
2016-10-12,11.77,12.11,11.68,11.92,428500
2016-10-11,11.78,12.24,11.7,11.77,440469
2016-10-10,12.1,12.18,11.62,11.78,576113
2016-10-09,12.22,12.43,12.02,12.1,298084
2016-10-08,12.7,12.74,12.06,12.26,402716
2016-10-07,12.88,13.08,12.5,12.7,678612
2016-10-06,13.09,13.18,12.68,12.86,623286
2016-10-05,13.34,13.45,13.08,13.09,483636
2016-10-04,13.52,13.58,13.24,13.32,726473
2016-10-03,13.29,13.56,13.25,13.51,487346
2016-10-02,13.23,13.31,13.19,13.28,272160
2016-10-01,13.23,13.31,13.09,13.22,434290
2016-09-30,13.11,13.39,13.08,13.23,436709
2016-09-29,13.31,13.39,13.1,13.11,483523
2016-09-28,13.09,13.58,13.09,13.32,576276
2016-09-27,12.85,13.25,12.85,13.09,366559
2016-09-26,13.14,13.15,12.83,12.84,302908
2016-09-25,12.96,13.18,12.8,13.12,257139
2016-09-24,13.37,13.41,12.62,12.97,476375
2016-09-23,13.21,13.45,13.14,13.37,339932
2016-09-22,13.77,13.77,12.33,13.2,912793
2016-09-21,14.98,15.2,13.16,13.76,1195262
2016-09-20,13.18,15.25,13.1,14.56,1500073
2016-09-19,12.64,13.2,12.61,13.17,527261
2016-09-18,12.8,12.98,12.33,12.64,702860
2016-09-17,12.58,12.99,12.41,12.79,431790
2016-09-16,11.95,12.76,11.86,12.58,707726
2016-09-15,11.91,12.1,11.91,11.96,276862
2016-09-14,11.92,12.03,11.8,11.91,288603
2016-09-13,11.87,12.08,11.84,11.92,351104
2016-09-12,11.64,11.95,11.64,11.86,248823
2016-09-11,12.2,12.21,11.6,11.65,294256
2016-09-10,11.64,12.21,11.55,12.21,244701
2016-09-09,11.39,11.69,11.34,11.64,248514
2016-09-08,11.55,11.7,11.31,11.39,363364
2016-09-07,11.75,11.9,11.53,11.58,387861
2016-09-06,11.75,11.76,11.5,11.71,317845
2016-09-05,11.77,11.84,11.62,11.76,164946
2016-09-04,11.84,11.88,11.54,11.77,224442
2016-09-03,12.15,12.47,11.6,11.88,446890
2016-09-02,12.04,12.35,11.95,12.15,493424
2016-09-01,11.66,12.5,11.57,12.05,1047217
2016-08-31,11.21,11.7,11.09,11.7,441687
2016-08-30,10.95,11.25,10.95,11.21,292133
2016-08-29,11.01,11.16,10.8,10.95,346830
2016-08-28,11.18,11.19,10.97,11.01,205127
2016-08-27,11.27,11.28,11.17,11.18,228888
2016-08-26,11.34,11.47,11.2,11.28,307764
2016-08-25,11.01,11.35,10.99,11.34,327975
2016-08-24,11,11.16,10.98,11.01,264350
2016-08-23,11.1,11.2,10.85,11,357786
2016-08-22,11.17,11.34,11.04,11.1,404362
2016-08-21,11.3,11.3,10.98,11.21,201567
2016-08-20,10.77,11.37,10.7,11.3,398076
2016-08-19,10.77,10.86,10.65,10.77,314064
2016-08-18,10.82,11.06,10.76,10.77,385286
2016-08-17,11.18,11.26,10.69,10.82,433016
2016-08-16,11.3,11.38,11,11.18,570113
2016-08-15,11.28,11.52,11.02,11.3,374064
2016-08-14,11.61,11.76,11.2,11.28,290652
2016-08-13,11.8,11.86,11.54,11.61,329236
2016-08-12,11.73,12.08,11.65,11.81,362083
2016-08-11,12.22,12.39,11.6,11.73,644282
2016-08-10,12.28,12.91,11.87,12.21,1790291
2016-08-09,11.33,12.48,11.24,12.28,1036653
2016-08-08,10.99,11.42,10.94,11.34,350553
2016-08-07,11,11.25,10.84,10.99,329854
2016-08-06,11.18,11.18,10.42,11.01,384766
2016-08-05,11.3,11.4,10.81,11.18,527640
2016-08-04,10.6,11.55,10.42,11.32,1121654
2016-08-03,8.68,10.78,8.54,10.68,2302224
2016-08-02,10.9,11.31,6.68,8.78,1713215
2016-08-01,11.98,12.12,10.8,10.95,1006064
2016-07-31,12.49,12.67,11.61,11.99,685492
2016-07-30,12.84,12.88,12.49,12.49,483425
2016-07-29,12.93,12.95,12.57,12.84,687633
2016-07-28,13.1,13.14,12.53,12.93,852022
2016-07-27,12,13.4,11.75,13.1,1439585
2016-07-26,13.93,13.95,11.88,12,1991664
2016-07-25,12.71,14.01,12.61,13.91,1418764
2016-07-24,14.52,14.57,12.05,12.78,1796255
2016-07-23,14.99,15.39,14,14.52,1679499
